Month,Questions
"2019-01-01 00:00:00","149628"
"2019-02-01 00:00:00","146421"
"2019-03-01 00:00:00","161159"
"2019-04-01 00:00:00","153558"
"2019-05-01 00:00:00","151393"
"2019-06-01 00:00:00","135935"
"2019-07-01 00:00:00","151081"
"2019-08-01 00:00:00","137181"
"2019-09-01 00:00:00","136935"
"2019-10-01 00:00:00","152721"
"2019-11-01 00:00:00","148338"
"2019-12-01 00:00:00","132623"
"2020-01-01 00:00:00","146735"
"2020-02-01 00:00:00","145191"
"2020-03-01 00:00:00","156037"
"2020-04-01 00:00:00","183016"
"2020-05-01 00:00:00","186573"
"2020-06-01 00:00:00","172002"
"2020-07-01 00:00:00","166135"
"2020-08-01 00:00:00","148452"
"2020-09-01 00:00:00","141887"
"2020-10-01 00:00:00","141948"
"2020-11-01 00:00:00","135088"
"2020-12-01 00:00:00","134035"
"2021-01-01 00:00:00","140009"
"2021-02-01 00:00:00","131810"
"2021-03-01 00:00:00","148900"
"2021-04-01 00:00:00","136022"
"2021-05-01 00:00:00","133911"
"2021-06-01 00:00:00","129106"
"2021-07-01 00:00:00","124130"
"2021-08-01 00:00:00","122273"
"2021-09-01 00:00:00","119882"
"2021-10-01 00:00:00","119008"
"2021-11-01 00:00:00","119260"
"2021-12-01 00:00:00","112278"
"2022-01-01 00:00:00","119459"
"2022-02-01 00:00:00","114114"
"2022-03-01 00:00:00","123614"
"2022-04-01 00:00:00","114422"
"2022-05-01 00:00:00","116346"
"2022-06-01 00:00:00","111741"
"2022-07-01 00:00:00","111059"
"2022-08-01 00:00:00","113048"
"2022-09-01 00:00:00","103965"
"2022-10-01 00:00:00","106366"
"2022-11-01 00:00:00","109719"
"2022-12-01 00:00:00","96767"
"2023-01-01 00:00:00","97209"
"2023-02-01 00:00:00","85973"
"2023-03-01 00:00:00","87543"
"2023-04-01 00:00:00","68746"
"2023-05-01 00:00:00","66749"
"2023-06-01 00:00:00","63858"
"2023-07-01 00:00:00","62938"
"2023-08-01 00:00:00","60319"
"2023-09-01 00:00:00","53046"
"2023-10-01 00:00:00","52743"
"2023-11-01 00:00:00","50646"
"2023-12-01 00:00:00","42601"
"2024-01-01 00:00:00","47854"
"2024-02-01 00:00:00","46292"
"2024-03-01 00:00:00","45070"
"2024-04-01 00:00:00","42776"
"2024-05-01 00:00:00","40485"
"2024-06-01 00:00:00","32243"
"2024-07-01 00:00:00","31740"
"2024-08-01 00:00:00","28059"
"2024-09-01 00:00:00","24947"
"2024-10-01 00:00:00","23319"
"2024-11-01 00:00:00","20891"
"2024-12-01 00:00:00","18029"
"2025-01-01 00:00:00","22394"
"2025-02-01 00:00:00","19340"
"2025-03-01 00:00:00","18965"
"2025-04-01 00:00:00","14138"
"2025-05-01 00:00:00","11824"
"2025-06-01 00:00:00","9392"
"2025-07-01 00:00:00","7841"
"2025-08-01 00:00:00","5885"
"2025-09-01 00:00:00","6132"
"2025-10-01 00:00:00","5415"
"2025-11-01 00:00:00","4366"
"2025-12-01 00:00:00","3862"
"2026-01-01 00:00:00","321"
