Month,Questions
"2008-07-01 00:00:00","4"
"2008-08-01 00:00:00","3749"
"2008-09-01 00:00:00","14040"
"2008-10-01 00:00:00","14578"
"2008-11-01 00:00:00","12717"
"2008-12-01 00:00:00","12081"
"2009-01-01 00:00:00","15833"
"2009-02-01 00:00:00","17581"
"2009-03-01 00:00:00","20482"
"2009-04-01 00:00:00","21336"
"2009-05-01 00:00:00","25814"
"2009-06-01 00:00:00","28326"
"2009-07-01 00:00:00","32483"
"2009-08-01 00:00:00","32775"
"2009-09-01 00:00:00","33054"
"2009-10-01 00:00:00","36331"
"2009-11-01 00:00:00","38518"
"2009-12-01 00:00:00","37795"
"2010-01-01 00:00:00","44938"
"2010-02-01 00:00:00","44811"
"2010-03-01 00:00:00","52236"
"2010-04-01 00:00:00","50084"
"2010-05-01 00:00:00","51996"
"2010-06-01 00:00:00","55750"
"2010-07-01 00:00:00","60848"
"2010-08-01 00:00:00","63660"
"2010-09-01 00:00:00","61230"
"2010-10-01 00:00:00","63777"
"2010-11-01 00:00:00","69693"
"2010-12-01 00:00:00","69573"
"2011-01-01 00:00:00","79911"
"2011-02-01 00:00:00","82942"
"2011-03-01 00:00:00","100970"
"2011-04-01 00:00:00","95562"
"2011-05-01 00:00:00","100229"
"2011-06-01 00:00:00","99027"
"2011-07-01 00:00:00","100445"
"2011-08-01 00:00:00","106917"
"2011-09-01 00:00:00","101722"
"2011-10-01 00:00:00","101032"
"2011-11-01 00:00:00","108450"
"2011-12-01 00:00:00","103172"
"2012-01-01 00:00:00","115434"
"2012-02-01 00:00:00","123299"
"2012-03-01 00:00:00","133000"
"2012-04-01 00:00:00","128064"
"2012-05-01 00:00:00","133515"
"2012-06-01 00:00:00","130323"
"2012-07-01 00:00:00","141906"
"2012-08-01 00:00:00","141528"
"2012-09-01 00:00:00","132241"
"2012-10-01 00:00:00","150083"
"2012-11-01 00:00:00","148310"
"2012-12-01 00:00:00","135471"
"2013-01-01 00:00:00","157850"
"2013-02-01 00:00:00","153402"
"2013-03-01 00:00:00","173814"
"2013-04-01 00:00:00","171546"
"2013-05-01 00:00:00","166468"
"2013-06-01 00:00:00","158334"
"2013-07-01 00:00:00","176636"
"2013-08-01 00:00:00","170215"
"2013-09-01 00:00:00","165374"
"2013-10-01 00:00:00","184133"
"2013-11-01 00:00:00","176033"
"2013-12-01 00:00:00","165192"
"2014-01-01 00:00:00","188797"
"2014-02-01 00:00:00","187751"
"2014-03-01 00:00:00","207493"
"2014-04-01 00:00:00","194022"
"2014-05-01 00:00:00","176017"
"2014-06-01 00:00:00","162354"
"2014-07-01 00:00:00","177066"
"2014-08-01 00:00:00","163406"
"2014-09-01 00:00:00","165866"
"2014-10-01 00:00:00","172887"
"2014-11-01 00:00:00","166598"
"2014-12-01 00:00:00","155299"
"2015-01-01 00:00:00","165978"
"2015-02-01 00:00:00","168513"
"2015-03-01 00:00:00","189769"
"2015-04-01 00:00:00","189967"
"2015-05-01 00:00:00","185878"
"2015-06-01 00:00:00","187915"
"2015-07-01 00:00:00","195439"
"2015-08-01 00:00:00","181413"
"2015-09-01 00:00:00","177859"
"2015-10-01 00:00:00","186418"
"2015-11-01 00:00:00","178205"
"2015-12-01 00:00:00","172586"
"2016-01-01 00:00:00","181380"
"2016-02-01 00:00:00","188742"
"2016-03-01 00:00:00","201941"
"2016-04-01 00:00:00","197067"
"2016-05-01 00:00:00","189772"
"2016-06-01 00:00:00","184660"
"2016-07-01 00:00:00","176974"
"2016-08-01 00:00:00","181960"
"2016-09-01 00:00:00","171676"
"2016-10-01 00:00:00","175399"
"2016-11-01 00:00:00","175326"
"2016-12-01 00:00:00","162421"
"2017-01-01 00:00:00","176969"
"2017-02-01 00:00:00","175280"
"2017-03-01 00:00:00","201543"
"2017-04-01 00:00:00","178508"
"2017-05-01 00:00:00","186511"
"2017-06-01 00:00:00","178175"
"2017-07-01 00:00:00","179856"
"2017-08-01 00:00:00","177742"
"2017-09-01 00:00:00","162369"
"2017-10-01 00:00:00","170083"
"2017-11-01 00:00:00","169012"
"2017-12-01 00:00:00","145330"
"2018-01-01 00:00:00","160544"
"2018-02-01 00:00:00","153155"
"2018-03-01 00:00:00","173466"
"2018-04-01 00:00:00","162981"
"2018-05-01 00:00:00","168104"
"2018-06-01 00:00:00","154885"
"2018-07-01 00:00:00","160095"
"2018-08-01 00:00:00","158544"
"2018-09-01 00:00:00","144581"
"2018-10-01 00:00:00","160501"
"2018-11-01 00:00:00","149820"
"2018-12-01 00:00:00","132269"
"2019-01-01 00:00:00","149628"
"2019-02-01 00:00:00","146421"
"2019-03-01 00:00:00","161159"
"2019-04-01 00:00:00","153558"
"2019-05-01 00:00:00","151393"
"2019-06-01 00:00:00","135935"
"2019-07-01 00:00:00","151081"
"2019-08-01 00:00:00","137181"
"2019-09-01 00:00:00","136935"
"2019-10-01 00:00:00","152721"
"2019-11-01 00:00:00","148338"
"2019-12-01 00:00:00","132623"
"2020-01-01 00:00:00","146735"
"2020-02-01 00:00:00","145191"
"2020-03-01 00:00:00","156037"
"2020-04-01 00:00:00","183016"
"2020-05-01 00:00:00","186573"
"2020-06-01 00:00:00","172002"
"2020-07-01 00:00:00","166135"
"2020-08-01 00:00:00","148452"
"2020-09-01 00:00:00","141887"
"2020-10-01 00:00:00","141948"
"2020-11-01 00:00:00","135088"
"2020-12-01 00:00:00","134035"
"2021-01-01 00:00:00","140009"
"2021-02-01 00:00:00","131810"
"2021-03-01 00:00:00","148900"
"2021-04-01 00:00:00","136022"
"2021-05-01 00:00:00","133911"
"2021-06-01 00:00:00","129106"
"2021-07-01 00:00:00","124130"
"2021-08-01 00:00:00","122273"
"2021-09-01 00:00:00","119882"
"2021-10-01 00:00:00","119008"
"2021-11-01 00:00:00","119260"
"2021-12-01 00:00:00","112278"
"2022-01-01 00:00:00","119459"
"2022-02-01 00:00:00","114114"
"2022-03-01 00:00:00","123614"
"2022-04-01 00:00:00","114422"
"2022-05-01 00:00:00","116346"
"2022-06-01 00:00:00","111741"
"2022-07-01 00:00:00","111059"
"2022-08-01 00:00:00","113048"
"2022-09-01 00:00:00","103965"
"2022-10-01 00:00:00","106366"
"2022-11-01 00:00:00","109719"
"2022-12-01 00:00:00","96767"
"2023-01-01 00:00:00","97209"
"2023-02-01 00:00:00","85973"
"2023-03-01 00:00:00","87543"
"2023-04-01 00:00:00","68746"
"2023-05-01 00:00:00","66749"
"2023-06-01 00:00:00","63858"
"2023-07-01 00:00:00","62938"
"2023-08-01 00:00:00","60319"
"2023-09-01 00:00:00","53046"
"2023-10-01 00:00:00","52743"
"2023-11-01 00:00:00","50646"
"2023-12-01 00:00:00","42601"
"2024-01-01 00:00:00","47854"
"2024-02-01 00:00:00","46292"
"2024-03-01 00:00:00","45070"
"2024-04-01 00:00:00","42776"
"2024-05-01 00:00:00","40485"
"2024-06-01 00:00:00","32243"
"2024-07-01 00:00:00","31740"
"2024-08-01 00:00:00","28059"
"2024-09-01 00:00:00","24947"
"2024-10-01 00:00:00","23319"
"2024-11-01 00:00:00","20891"
"2024-12-01 00:00:00","18029"
"2025-01-01 00:00:00","22394"
"2025-02-01 00:00:00","19340"
"2025-03-01 00:00:00","18965"
"2025-04-01 00:00:00","14138"
"2025-05-01 00:00:00","11824"
"2025-06-01 00:00:00","9392"
"2025-07-01 00:00:00","7841"
"2025-08-01 00:00:00","5885"
"2025-09-01 00:00:00","6132"
"2025-10-01 00:00:00","5415"
"2025-11-01 00:00:00","4366"
"2025-12-01 00:00:00","3862"
